koen,vaegt,hoejde,alder,ryger
Kvinde,60,165,43,Ryger ikke
Mand,72,173,81,Ryger
Kvinde,90,165,58,Ryger
Kvinde,72,182,25,Ryger ikke
Kvinde,72,180,43,Ryger ikke
Kvinde,NA,165,55,Ryger
Mand,78,181,35,Ryger
Kvinde,NA,170,49,Ryger ikke
Kvinde,57,175,22,Ryger
Kvinde,64,178,23,Ryger ikke
Kvinde,50,160,51,Ryger
Kvinde,53,153,20,Ryger
Mand,72,167,83,Ryger ikke
Kvinde,59,NA,74,Ryger ikke
Mand,68,190,26,Ryger
Mand,78,194,31,Ryger
Kvinde,70,178,32,Ryger
Kvinde,50,168,75,Ryger
Kvinde,72,160,56,Ryger
Mand,60,162,84,Ryger
Kvinde,57,NA,69,Ryger ikke
Mand,74,181,19,Ryger
Kvinde,55,160,29,Ryger ikke
Kvinde,65,163,84,Ryger
Kvinde,57,173,55,Ryger
Mand,68,165,34,Ryger ikke
Kvinde,54,168,41,Ryger ikke
Mand,69,175,32,Ryger
Kvinde,48,152,27,Ryger ikke
Mand,83,180,44,Ryger
Kvinde,69,150,72,Ryger
Kvinde,82,174,87,Ryger ikke
Mand,99,192,57,Ryger ikke
Kvinde,75,NA,80,Ryger ikke
Mand,102,186,27,Ryger ikke
NA,NA,NA,NA,NA
Mand,93,180,36,Ryger
Kvinde,72,175,26,Ryger ikke
Kvinde,69,160,72,Ryger ikke
Mand,63,176,19,Ryger ikke
Mand,65,170,19,Ryger
Mand,78,170,81,Ryger
Mand,78,183,21,Ryger ikke
Kvinde,58,169,28,Ryger ikke
Mand,71,182,53,Ryger
Mand,80,178,53,Ryger ikke
Kvinde,90,164,55,Ryger
Mand,75,168,42,Ryger
Kvinde,65,NA,21,Ryger
Mand,87,198,59,Ryger ikke
Kvinde,68,167,23,Ryger ikke
NA,NA,NA,NA,Ryger ikke
Kvinde,60,173,22,Ryger
Kvinde,64,164,26,Ryger ikke
Kvinde,82,168,63,Ryger ikke
Kvinde,32,153,42,Ryger
Kvinde,80,172,64,NA
Kvinde,58,175,31,Ryger
Kvinde,90,170,54,Ryger
Kvinde,89,158,71,Ryger
Mand,74,183,26,Ryger
Kvinde,46,172,82,Ryger
Kvinde,57.5,168,25,Ryger ikke
Mand,70,180,31,Ryger ikke
Kvinde,78,167,28,Ryger ikke
Mand,88,180,75,Ryger
Mand,85,180,31,Ryger ikke
Kvinde,62,166,61,Ryger
Mand,75,173,47,Ryger
Mand,75,173,32,Ryger
Kvinde,61,172,31,Ryger
Mand,83,183,43,Ryger ikke
Kvinde,73.5,172.5,35,Ryger ikke
Kvinde,59,171,33,Ryger
Kvinde,65,172,70,Ryger ikke
Kvinde,54,164,44,Ryger
Mand,83,179,53,Ryger
Kvinde,65,165,37,Ryger ikke
Mand,79,180,25,Ryger
Kvinde,59,171,27,Ryger
Mand,72,175,72,Ryger
Kvinde,45,160,80,Ryger
Kvinde,65,167,66,Ryger
Mand,70,180,29,Ryger
Kvinde,90,172,59,Ryger ikke
Kvinde,70,172,26,Ryger ikke
Kvinde,63,163,48,Ryger ikke
Kvinde,58,168,34,Ryger ikke
Kvinde,58,152,51,Ryger ikke
Mand,83,187,27,Ryger ikke
Kvinde,59,170,49,Ryger ikke
Mand,90,185,26,Ryger ikke
Mand,74,179,39,Ryger ikke
Kvinde,74,186,49,Ryger
Mand,83,176,79,Ryger ikke
Kvinde,73,158,69,Ryger
Kvinde,NA,NA,73,Ryger ikke
Mand,69,170,77,Ryger
Kvinde,60,171,21,Ryger
Mand,77,165,36,Ryger ikke
Kvinde,54,165,25,Ryger
Mand,83,190,26,Ryger ikke
Mand,80,182,25,Ryger
Mand,85,182,71,Ryger
Mand,70,182,29,Ryger
Mand,67,170,28,Ryger
Kvinde,63,165,33,Ryger ikke
Mand,85,175,66,Ryger ikke
Mand,75,183,37,Ryger ikke
Mand,82,NA,71,Ryger
Kvinde,62,173,19,Ryger
Kvinde,53,163,21,Ryger ikke
Mand,76,175,81,Ryger ikke
Kvinde,60,157,87,Ryger ikke
Kvinde,79,175,61,Ryger ikke
Kvinde,65,180,47,Ryger ikke
Kvinde,69,170,37,Ryger
Kvinde,69,165,75,Ryger
Kvinde,52,173,22,Ryger
Mand,85,183,30,Ryger ikke
Kvinde,53,167,25,Ryger
Mand,87,178,32,Ryger
Kvinde,67,172,23,Ryger
Mand,96,184,38,Ryger ikke
NA,NA,NA,NA,Ryger
Kvinde,65,157,43,Ryger ikke
Kvinde,63,172,50,Ryger
Mand,95,186,30,Ryger ikke
Mand,68,170,70,Ryger ikke
Mand,70,173,26,Ryger
Mand,88,179,28,Ryger
Kvinde,78,175,71,Ryger ikke
Mand,68,183,21,Ryger ikke
Kvinde,64,165,31,Ryger
Mand,74,172,33,Ryger
Kvinde,70,160,62,Ryger ikke
Kvinde,55,166,26,Ryger
Mand,78,192,27,Ryger ikke
NA,NA,NA,NA,Ryger ikke
Kvinde,70,171,37,Ryger ikke
Kvinde,90,171,44,Ryger
Mand,68,174,36,Ryger
Kvinde,48,163,24,Ryger ikke
Kvinde,52,158,83,Ryger ikke
Mand,48,177,24,Ryger ikke
Mand,64,172,57,Ryger
Kvinde,61,170,25,Ryger
Kvinde,68,176,34,Ryger ikke
Mand,83,194,24,Ryger ikke
Mand,72,178,31,Ryger
Kvinde,70,175,33,NA
Kvinde,78,175,58,Ryger
Kvinde,59,161,29,Ryger
Mand,80,187,66,Ryger ikke
Kvinde,57,168,21,Ryger
Mand,71,167,59,Ryger ikke
Mand,78,181,55,Ryger
Kvinde,60,163,22,Ryger ikke
Mand,63,165,20,Ryger ikke
Kvinde,63,163,19,NA
Kvinde,59,172,23,Ryger
Mand,67,182,27,Ryger ikke
Mand,71,182,35,Ryger ikke
Kvinde,52,165,24,NA
Kvinde,100,179,22,Ryger
Kvinde,58,170,28,Ryger
Kvinde,63,163,58,Ryger ikke
Mand,NA,NA,32,Ryger ikke
Kvinde,60,170,22,Ryger ikke
Mand,80,172,48,Ryger
Mand,108,196,39,Ryger
Mand,84,174,59,Ryger
Mand,78,180,22,Ryger ikke
Mand,110,182,37,Ryger ikke
Kvinde,75,181,24,Ryger ikke
Mand,87,189,43,Ryger ikke
Kvinde,53,166,28,Ryger
Mand,84,186,40,Ryger ikke
Mand,74,186,30,Ryger ikke
Mand,105,182,56,Ryger
Kvinde,73,180,32,Ryger
Kvinde,78,175,23,Ryger ikke
Kvinde,87,161,39,Ryger
Kvinde,60,165,49,Ryger
Mand,70,170,31,Ryger ikke
Mand,90,184,44,Ryger ikke
Mand,60,155,91,Ryger ikke
Mand,75,173,28,Ryger ikke
Kvinde,60,176,39,Ryger ikke
Mand,102,199,32,Ryger ikke
Kvinde,80,169,41,Ryger
Kvinde,41,160,76,Ryger ikke
Kvinde,67,170,40,Ryger ikke
Kvinde,71,170,71,Ryger ikke
Kvinde,60,157,36,Ryger
Mand,70,179,49,Ryger
Kvinde,60,168,35,Ryger ikke
Mand,61,186,26,Ryger ikke
Kvinde,65,150,59,Ryger ikke
Kvinde,50,160,82,Ryger
Kvinde,79,155,57,Ryger ikke
Kvinde,70,169,23,Ryger
Kvinde,52,152,29,Ryger
Kvinde,70,161,55,Ryger ikke
Kvinde,NA,NA,87,Ryger ikke
Kvinde,44,158,18,Ryger ikke
Kvinde,53,160,41,Ryger
Kvinde,68,163,70,Ryger
Kvinde,46,163,25,Ryger
Mand,86,187,27,Ryger ikke
Kvinde,60,178,53,Ryger ikke
Kvinde,40,155,33,Ryger
Kvinde,55,156,67,Ryger
Kvinde,75,176,72,Ryger ikke
Kvinde,56,162,28,Ryger
Kvinde,83,170,24,Ryger
Kvinde,52,170,35,Ryger ikke
Mand,85,184,67,Ryger ikke
Mand,75,183,19,Ryger
Kvinde,40,166,59,Ryger
Kvinde,52,171,23,Ryger
Mand,93,183.5,29,Ryger
Kvinde,65,171,58,Ryger ikke
Kvinde,88,165,44,Ryger ikke
NA,NA,NA,NA,Ryger
Kvinde,57,173,28,Ryger ikke
Kvinde,77,164,93,Ryger ikke
NA,NA,NA,NA,Ryger ikke
Kvinde,76,174,27,Ryger ikke
Mand,85,190,29,Ryger
Kvinde,68,167,30,Ryger ikke
Mand,75,184,21,Ryger ikke
Kvinde,87,164,21,Ryger ikke
Mand,74,183,44,Ryger
Mand,75,174.5,32,Ryger
Kvinde,57,170,22,Ryger ikke
Kvinde,94,NA,36,Ryger ikke
Kvinde,65,NA,87,Ryger ikke
Mand,78,175,62,Ryger
Mand,70,173,52,Ryger
Kvinde,58,162,70,Ryger ikke
Kvinde,85,167,38,Ryger
Mand,134,184,51,Ryger ikke
Kvinde,65,164,35,Ryger
Kvinde,65,170,24,Ryger ikke
Kvinde,56,156,61,Ryger ikke
Mand,64,170,29,Ryger ikke
Mand,84,184,35,Ryger ikke
Kvinde,70,170,61,Ryger
Mand,75,184,23,Ryger ikke
Kvinde,60,NA,88,Ryger ikke
Mand,65,170,29,Ryger
Kvinde,70,170,65,Ryger ikke
Mand,77,182,26,Ryger
Kvinde,63,162,59,Ryger ikke
Kvinde,57,170,39,Ryger ikke
Mand,68,184,19,Ryger
Mand,100,176,51,Ryger
Kvinde,55,163,68,Ryger
Mand,75,190,27,Ryger
Mand,74,181,30,Ryger
Kvinde,83.6,168,58,Ryger
NA,NA,NA,NA,Ryger ikke
Kvinde,70,185,46,Ryger ikke
Mand,74,181,37,Ryger ikke
Mand,82,185,29,Ryger
Kvinde,60,NA,57,Ryger
Kvinde,64,170,22,Ryger
Kvinde,56,168,22,Ryger ikke
Kvinde,55,162,24,Ryger
Kvinde,52,165,37,Ryger ikke
Mand,80,185,26,Ryger
Mand,80,174,68,Ryger
Mand,75,172,80,Ryger ikke
Kvinde,55,156,87,Ryger ikke
Mand,85,195,24,Ryger ikke
Mand,73,167,57,Ryger ikke
Mand,103,194,34,Ryger
Kvinde,61,162,39,Ryger
Kvinde,85,170,77,Ryger ikke
Mand,68,170,28,Ryger
Kvinde,47,167,23,Ryger ikke
Kvinde,73,170,23,Ryger
Kvinde,70,160,28,Ryger
Kvinde,56,158,35,Ryger ikke
Kvinde,60,156,29,Ryger
Mand,53,160,30,Ryger ikke
Kvinde,78,180,32,Ryger ikke
Kvinde,53,167,30,Ryger ikke
Kvinde,48,161,20,Ryger
Kvinde,60,170,29,Ryger ikke
Kvinde,66,168,64,Ryger
Kvinde,74,175,28,Ryger
Mand,72,175,27,Ryger
Kvinde,51,162,22,Ryger ikke
Kvinde,55,170,30,Ryger
Mand,80,182,43,Ryger
Mand,75,187,35,Ryger
NA,NA,NA,NA,Ryger
Mand,68,176,68,Ryger ikke
Kvinde,82,165,27,Ryger
Mand,NA,168,41,Ryger
Mand,80,180,25,Ryger ikke
Mand,100,200,35,Ryger
Kvinde,60,169,25,Ryger
Mand,88,179,72,Ryger
Kvinde,55,155,82,Ryger
Kvinde,69,171,49,Ryger
Mand,70,178,21,Ryger
Kvinde,60,172,79,Ryger ikke
Kvinde,63,174,27,Ryger ikke
Mand,77,178,42,Ryger ikke
Kvinde,52,168,30,Ryger ikke
Kvinde,64,172,46,Ryger ikke
Kvinde,69,172,33,Ryger
Kvinde,50,156,32,Ryger
Kvinde,60,175,33,Ryger
Kvinde,60,158,71,Ryger
Mand,70,164,47,Ryger
Kvinde,58,160,27,Ryger
Mand,73,194,24,Ryger ikke
Mand,70,170,77,Ryger ikke
Mand,59,176,74,Ryger
Mand,80,186,31,Ryger ikke
Kvinde,54,163,41,Ryger
Kvinde,73,173,27,Ryger ikke
Mand,92,192,22,Ryger ikke
Kvinde,75,163,55,Ryger
Kvinde,68,164,31,Ryger ikke
Kvinde,60,175,32,Ryger ikke
Mand,80,183,34,Ryger
Kvinde,53,168,21,Ryger
Kvinde,51,164,28,Ryger
Kvinde,70,165,27,Ryger
Mand,79,185,38,Ryger ikke
Mand,95,195,52,Ryger ikke
Mand,78,180,23,Ryger ikke
Kvinde,61,164,63,Ryger ikke
Mand,80,187,26,Ryger
Kvinde,48,163,24,Ryger ikke
Mand,71,165,49,Ryger
Mand,72,182,30,Ryger
Kvinde,80,180,28,Ryger
Mand,98,183,29,Ryger ikke
Kvinde,70,167,22,Ryger
Mand,70,175,60,Ryger
Kvinde,74,168,42,Ryger ikke
Kvinde,56,177,35,Ryger ikke
Mand,79,174,62,Ryger ikke
Kvinde,60,160,57,Ryger ikke
Kvinde,63,165,56,Ryger
Mand,90,189.5,31,Ryger ikke
Mand,80,187,25,Ryger
Mand,80,185,40,Ryger
Mand,82,191,36,Ryger ikke
Kvinde,60,159,80,Ryger ikke
Mand,100,195,27,Ryger
Mand,75,183,45,Ryger
Kvinde,70,165,35,Ryger ikke
Kvinde,75,180,29,Ryger
Mand,81,191,29,Ryger ikke
Kvinde,59.5,175,25,Ryger
Kvinde,75,160,79,Ryger ikke
Kvinde,65,174,25,Ryger
Mand,76,180,34,Ryger
Kvinde,62,170,31,Ryger ikke
Mand,75,175,87,Ryger ikke
Kvinde,85,178,57,Ryger ikke
Mand,70,170,19,Ryger
Kvinde,60,165,59,Ryger
Mand,82,174,55,Ryger ikke
Mand,67,176,83,Ryger ikke
Mand,77,170,28,Ryger ikke
Kvinde,84,NA,27,Ryger ikke
Mand,73,176,60,Ryger ikke
Mand,67,172,21,Ryger
Mand,75,172,31,Ryger
Kvinde,70,168,34,Ryger ikke
Mand,76,180,38,Ryger
Mand,76,172,67,Ryger ikke
Kvinde,78,168,45,Ryger
Kvinde,59,172,37,Ryger ikke
Kvinde,82,176,41,Ryger
Mand,85,176,47,Ryger ikke
Kvinde,59,170,24,Ryger ikke
Mand,104,183,51,Ryger ikke
Mand,79,NA,62,Ryger
Kvinde,80,180,29,Ryger ikke
Kvinde,60,165,19,Ryger ikke
Kvinde,80,179,58,Ryger ikke
Kvinde,81,169,39,Ryger
Mand,80,183,30,Ryger
Kvinde,49,170,19,Ryger ikke
Mand,72,178,38,Ryger ikke
Mand,72,170,35,Ryger
Kvinde,58,168,20,Ryger ikke
Mand,75,179,35,Ryger
Kvinde,80,180,33,Ryger
Mand,82,182,27,Ryger ikke
Kvinde,68,154,58,Ryger ikke
Mand,90,178,32,Ryger ikke
Kvinde,60,170,23,Ryger ikke
Kvinde,73,165,71,Ryger ikke
Mand,82,190,21,Ryger
Kvinde,65,170,23,Ryger ikke
Kvinde,62,167,81,Ryger
Kvinde,78,180,32,Ryger ikke
Mand,71,184,28,Ryger
Mand,77,195,33,Ryger ikke
Kvinde,76,170,29,Ryger
Kvinde,46,160,29,Ryger ikke
Mand,71.5,188,78,Ryger
Mand,83,190,50,Ryger
Mand,95,195,30,Ryger
Kvinde,56,165,74,Ryger ikke
Kvinde,56,161,35,Ryger ikke
Kvinde,70,162,27,Ryger
Kvinde,67,167,65,Ryger ikke
Mand,105,173,58,Ryger ikke
Kvinde,107,179,25,Ryger ikke
Mand,65,172,26,Ryger ikke
Kvinde,64,172,64,Ryger
Kvinde,78,176,24,Ryger ikke
Mand,NA,NA,25,Ryger
Mand,74,182,26,Ryger ikke
Mand,72,170,35,Ryger
Mand,83,183,21,Ryger ikke
Kvinde,53,163,26,Ryger
Kvinde,54,172,23,Ryger ikke
Mand,70,177,73,Ryger ikke
Mand,75,175,31,Ryger ikke
Mand,70,162,73,Ryger ikke
Mand,65,174,48,Ryger ikke
Kvinde,68,170,41,Ryger
Kvinde,65,164,67,Ryger ikke
Kvinde,75,180,39,Ryger
Kvinde,69,168,22,NA
Mand,72,179,35,Ryger ikke
Mand,65,182,50,Ryger
Kvinde,67,163,49,Ryger
Kvinde,70,162,56,Ryger ikke
Kvinde,61,176,38,Ryger
Kvinde,67,180,22,Ryger ikke
Mand,61,169,79,Ryger
Mand,82,175,63,Ryger
Kvinde,60,176,52,Ryger
Mand,68,178,28,Ryger
Kvinde,65,172,57,Ryger ikke
Kvinde,60,162,35,Ryger
Kvinde,58,169,39,Ryger ikke
Mand,48,156,49,Ryger
Kvinde,65,164,22,Ryger
Mand,93,189,52,Ryger
Kvinde,60,162,86,Ryger ikke
Kvinde,NA,169,23,Ryger ikke
Kvinde,65,168,30,Ryger ikke
Kvinde,68,174,39,Ryger
Kvinde,56,170,28,Ryger
Kvinde,58,173,26,Ryger ikke
Kvinde,70,160,71,Ryger
Mand,76,180,29,Ryger ikke
Mand,74,189,24,Ryger
Kvinde,55,163,34,Ryger
Kvinde,80,150,74,Ryger ikke
Kvinde,70,172,30,Ryger
Kvinde,67,174,25,Ryger
Kvinde,NA,162,47,Ryger ikke
Mand,80,184,47,Ryger
Kvinde,100,173,77,Ryger ikke
Kvinde,67,179,49,Ryger
Mand,72,180,31,Ryger
Mand,80,175,73,Ryger ikke
Mand,88,186,40,Ryger
Mand,65,177,70,Ryger
Kvinde,85,168,58,Ryger
Kvinde,72.5,168,71,Ryger ikke
Kvinde,66,172,23,Ryger
Mand,76,185,53,Ryger ikke
Kvinde,50,157,91,Ryger
Kvinde,NA,171,39,Ryger
Kvinde,69,175,81,Ryger
Kvinde,60,167,23,Ryger ikke
Mand,79,177,43,Ryger
Kvinde,68,170,23,Ryger ikke
Kvinde,52,150,74,Ryger
Mand,67.5,160,55,Ryger ikke
Kvinde,100,164,36,Ryger ikke
Mand,76,182,40,Ryger ikke
Kvinde,62,157,35,Ryger ikke
Kvinde,75,NA,24,Ryger ikke
Mand,84,173,34,Ryger
Kvinde,60,157,77,Ryger
Mand,88,182,52,Ryger
Kvinde,58,164,71,Ryger ikke
Kvinde,55,168,25,Ryger ikke
Mand,79,180,42,Ryger
Kvinde,58,172,35,Ryger ikke
Mand,76,189,48,Ryger
Mand,59,166,46,Ryger
Mand,75,183,23,Ryger
Mand,77,185,52,Ryger
Mand,78,167,60,Ryger ikke
Kvinde,61,165,26,Ryger ikke
Kvinde,62,169,36,Ryger ikke
Kvinde,57,157,21,Ryger ikke
Kvinde,90,170,50,Ryger
Kvinde,70,162,29,Ryger ikke
Mand,65,165,80,Ryger
Kvinde,52,162,50,Ryger ikke
Mand,80,189,30,Ryger
Kvinde,62,161,82,Ryger ikke
Kvinde,95,162,49,Ryger ikke
Mand,84,185,53,Ryger ikke
Mand,82,173,23,Ryger ikke
Kvinde,67,167,76,Ryger ikke
Kvinde,76,176,25,Ryger ikke
Kvinde,61,170,59,Ryger ikke
Kvinde,73,165,22,Ryger ikke
Kvinde,70,174,29,Ryger
Mand,82,174,33,Ryger
Kvinde,86,176,55,Ryger ikke
Mand,90,180,48,Ryger ikke
Mand,97,176,71,Ryger ikke
Kvinde,52,NA,27,Ryger ikke
Mand,71,180,28,Ryger ikke
Kvinde,64,180,32,Ryger ikke
Mand,68,178,35,Ryger
NA,87,189,30,Ryger ikke
Kvinde,70,NA,81,Ryger
Kvinde,53,163,26,Ryger ikke
Kvinde,46,162,87,Ryger ikke
Mand,72,163,64,Ryger
Kvinde,55,165,22,Ryger ikke
Kvinde,75,169,30,NA
Mand,64,172,55,Ryger ikke
Mand,110,182,26,Ryger
Kvinde,60,170,85,Ryger ikke
Mand,85,194,26,Ryger
Kvinde,84,NA,22,Ryger ikke
NA,NA,NA,NA,Ryger
Kvinde,52,152,78,Ryger ikke
Mand,68,175,56,Ryger
Kvinde,57,162,50,Ryger
Kvinde,80,178,21,Ryger
Kvinde,64,160,60,Ryger ikke
Mand,86,193,35,Ryger ikke
Kvinde,72,174,33,Ryger
Mand,62,169,67,Ryger
Kvinde,65,162,87,Ryger ikke
Kvinde,53,163,39,Ryger ikke
Kvinde,72,163,27,Ryger ikke
Kvinde,60,158,23,Ryger ikke
Kvinde,75,172,21,Ryger
Kvinde,68,167,33,Ryger ikke
Mand,70,182,28,Ryger ikke
Kvinde,62,173,19,Ryger ikke
Mand,107,183,38,Ryger ikke
Kvinde,79,170,52,Ryger
Mand,71,180,66,Ryger
NA,NA,NA,NA,Ryger ikke
Kvinde,78,178,20,Ryger ikke
Mand,100,178,51,Ryger ikke
Mand,71,178,28,Ryger
Kvinde,76,154,81,Ryger ikke
Kvinde,60,157,22,Ryger ikke
Mand,84,188,35,Ryger ikke
Kvinde,98,168,20,Ryger ikke
Kvinde,70,180,73,Ryger
Mand,67,164,74,Ryger
Kvinde,56,163,74,Ryger ikke
Kvinde,NA,168,23,Ryger ikke
Kvinde,56,168,24,Ryger ikke
Mand,92,182,59,Ryger ikke
Kvinde,80,168,65,Ryger ikke
Mand,63,165,62,Ryger
Mand,62,170,35,Ryger ikke
Mand,95,193,33,Ryger ikke
Mand,NA,NA,23,Ryger
Kvinde,62,170,32,Ryger
Mand,80,179,58,Ryger
Kvinde,60,162,60,Ryger ikke
Mand,80,176,62,Ryger
Kvinde,70,175,43,Ryger
Kvinde,71,176,26,Ryger ikke
Kvinde,NA,167,20,Ryger
Kvinde,55,170,27,Ryger ikke
Mand,92,183,31,Ryger ikke
Kvinde,92,176,74,Ryger ikke
Kvinde,65,169,24,Ryger
Kvinde,76,155,24,Ryger
Kvinde,66,150,31,Ryger
NA,NA,NA,NA,NA
Mand,76,183,47,Ryger ikke
Mand,74,188,24,Ryger
Mand,109,191,27,Ryger
Mand,112,180,58,Ryger
Mand,88,185,61,Ryger ikke
Mand,70,176,22,Ryger
Mand,53,163,22,Ryger ikke
Mand,83,183,37,Ryger ikke
Kvinde,82,169,73,Ryger
Kvinde,79,165,23,Ryger
Mand,83,197,22,Ryger ikke
Mand,80,177,43,Ryger
Kvinde,60,168,32,Ryger
Mand,106,176,51,NA
Kvinde,47,160,33,Ryger ikke
Mand,80,186,30,Ryger
Kvinde,82,179,58,Ryger ikke
Mand,76,184,25,Ryger
Kvinde,62,168,48,Ryger ikke
Kvinde,50,148,74,Ryger
Kvinde,64,168,63,Ryger
Kvinde,50,167,75,Ryger ikke
Mand,75,182,22,Ryger ikke
Kvinde,92,167,60,Ryger ikke
Kvinde,58,168,71,Ryger
Kvinde,55,167,25,Ryger ikke
Kvinde,60,160,20,Ryger ikke
Mand,88,178,31,Ryger ikke
Mand,65,165,86,Ryger ikke
Kvinde,74,168,67,Ryger ikke
Kvinde,75,173,28,Ryger
Mand,73,185,25,Ryger
Kvinde,64,171,33,Ryger
Kvinde,54,NA,72,Ryger
Kvinde,75,159,42,Ryger ikke
Kvinde,48,158,33,Ryger ikke
Kvinde,78,167,71,Ryger ikke
Mand,82,179,63,Ryger ikke
Kvinde,68,169,50,Ryger
Mand,71,184,25,Ryger ikke
Kvinde,85,164,41,Ryger
Mand,82,186,35,Ryger
Kvinde,53,168,32,Ryger ikke
Kvinde,73,173,49,Ryger
Kvinde,58,164,28,Ryger
Mand,83,181,47,Ryger
Mand,84,190,40,Ryger
Kvinde,65,164,91,Ryger
Mand,67,164,85,Ryger ikke
Mand,76,172,37,Ryger
Kvinde,72,167,85,Ryger ikke
Mand,90,188,51,Ryger ikke
Mand,85,170,50,Ryger
Kvinde,64,174,19,Ryger
Kvinde,75,167,72,Ryger ikke
Kvinde,64,162,23,Ryger ikke
Kvinde,67,162,39,Ryger
Kvinde,55,163,62,Ryger
Mand,75,190,18,Ryger ikke
Mand,61,174,47,Ryger
Mand,74,184,25,Ryger
Kvinde,43,165,74,Ryger
Kvinde,55,164,19,Ryger ikke
Kvinde,62,170,51,Ryger
Kvinde,72,170,79,Ryger ikke
Kvinde,60,167,23,Ryger ikke
Kvinde,50,150,78,Ryger
Kvinde,NA,NA,27,Ryger
Mand,73,168,23,Ryger ikke
Kvinde,51,167,24,Ryger
Mand,74,179,29,Ryger
Kvinde,75,163,54,Ryger
Mand,83,198,24,Ryger
Kvinde,71,170,55,Ryger ikke
Kvinde,58,165,32,Ryger ikke
Mand,34,171,37,Ryger
Kvinde,70,NA,79,Ryger
Mand,72,178,24,Ryger ikke
Mand,85,192,19,Ryger ikke
Mand,89,184,61,Ryger ikke
Mand,94,180,23,Ryger
Kvinde,74,169.5,87,Ryger
Mand,75,184,24,Ryger
Kvinde,117,182,34,Ryger ikke
Mand,90,185,27,Ryger ikke
Mand,115,182,47,Ryger ikke
Mand,86,176,46,Ryger
Kvinde,48,162,22,Ryger
Kvinde,48,168,68,Ryger
Kvinde,55,164,24,Ryger ikke
